CytScore.log2,Taxane.MitosisScore,Taxane.CeramideScore,Taxane.FinalScore,STAT1.gsva,GGI.gsva,GEP.gsva,ESC.gsva,STAT1.ssgsea.norm,GGI.ssgsea.norm,GEP.ssgsea.norm,ESC.ssgsea.norm,STAT1.ssgsea.notnorm,GGI.ssgsea.notnorm,ESC.ssgsea.notnorm,Swanton.MitosisScore,Swanton.CeramideScore,Swanton.PaclitaxelScore,B2M,TAP1,TAP2,HLA.A,HLA.B,HLA.C,HLA.DPA1,HLA.DPB1,HLA.E,HLA.F,PD.1,CTLA.4,LAG3,TIGIT,TIM3,PD.L1,PD.L2,CD27,ICOS,IDO1,TIDE.Dysfunction,TIDE.Exclusion,TIDE.MDSC,TIDE.CAF,TIDE.TAM.M2,TIDE.IFNG,TIDE.CD274,TIDE.CD8
1.317,2.73057819,3.098113226,-0.367535036,-0.662,-0.502,-0.652,-0.447,1.288,1.493,1.344,1.684,18402.108,21335.266,24063.527,2.73057819,3.098113226,-0.367535036,4.94567,2.00181,1.0655,4.26479,4.60366,4.30617,3.18093,3.36926,4.13167,2.05079,0.31394,0.1267,0.28743,0.23406,-1.15184,-0.07298,-0.41754,0.52657,-0.27674,0.14114,-0.11,1.45,0.03,0.16,0.06,-2.92,-1.44,-2
4.374,1.445100508,4.146541088,-2.70144058,-0.34,-0.774,-0.235,-0.45,1.413,1.261,1.524,1.6,20187.112,18017.017,22856.761,1.445100508,4.146541088,-2.70144058,4.48999,2.26852,1.11485,4.33513,4.53582,4.30182,3.29012,3.56389,4.30315,2.32088,-0.82831,-0.7089,-0.52066,-0.30946,-1.21856,-0.24299,-0.82148,1.67846,0.23568,-0.41503,1.34,0.82,-0.05,0.17,0.03,-1.96,-0.89,-0.44
1.176,4.409759492,2.125598572,2.28416092,-0.751,0.545,-0.77,0.271,1.115,1.685,1.2,1.735,15933.984,24071.023,24781.965,4.409759492,2.125598572,2.28416092,3.6133,1.2705,0.49551,3.62961,3.53346,3.6006,2.04344,2.53494,3.69201,1.09997,0.22623,0.07887,-0.08567,0.40722,-0.42246,0.30591,-0.25992,0.31453,-0.38608,0.37535,-0.77,1.31,0.15,0.01,0.06,-3.91,-2.12,-1.61
4.611,2.484728335,5.241241256,-2.756512921,0.516,-0.438,0.264,-0.407,1.58,1.449,1.601,1.635,22574.592,20708.106,23352.55,2.484728335,5.241241256,-2.756512921,5.0621,3.06705,1.50883,4.95307,5.23006,5.12145,3.549,3.7079,4.21461,2.76981,-0.96424,-0.75247,-0.80208,-0.73701,-1.53496,-0.5996,-0.60731,2.1416,0.60256,-0.80061,1.17,-0.8,-0.07,-0.04,0,-0.78,-0.2,0.7
2.546,2.85580329,3.103241789,-0.247438499,-0.63,-0.483,-0.644,-0.446,1.275,1.453,1.372,1.639,18219.48,20756.856,23413.43,2.85580329,3.103241789,-0.247438499,4.10757,2.12789,0.8631,4.01779,4.35437,4.10281,2.42211,2.86073,4.06947,1.94233,-0.34334,-0.20019,-0.39628,-0.24801,-0.32679,0.09534,-0.37802,1.58357,0.07021,-0.03388,0.97,-0.1,-0.01,-0.03,0.05,-2.99,-1.61,-1.41
4.602,3.614157042,3.280666531,0.333490511,0.582,0.416,0.726,0.316,1.591,1.607,1.762,1.729,22728.973,22963.665,24699.972,3.614157042,3.280666531,0.333490511,5.58717,3.24067,1.41875,5.23034,5.61673,5.37062,4.09624,4.44785,4.56494,2.98516,-1.492,-1.41531,-1.58252,-0.63728,-2.03272,-0.76181,-1.58035,1.97233,0.84626,-2.46026,0.67,-0.73,-0.04,-0.02,-0.03,0.6,-0.14,-0.59
3.493,1.438337945,5.033787653,-3.595449708,0.337,-0.703,0.032,-0.315,1.507,1.271,1.543,1.605,21528.978,18153.892,22933.145,1.438337945,5.033787653,-3.595449708,5.17402,3.41396,1.92438,4.90025,5.19043,4.95169,3.18944,3.23754,3.88919,2.96496,-0.18432,-0.45604,-1.05599,-0.30006,-0.99336,-1.30086,-0.63435,0.7872,0.4571,-1.08648,-0.26,-1.03,-0.02,-0.07,-0.06,-0.06,1.33,-0.97
3.124,2.377890925,3.828159326,-1.450268402,-0.573,-0.279,-0.643,-0.474,1.381,1.545,1.482,1.687,19724.393,22076.996,24098.463,2.377890925,3.828159326,-1.450268402,4.83436,2.1471,0.86603,4.3825,4.52445,4.33271,3.35827,3.64303,4.07954,2.05916,0.00418,-0.2309,-0.21257,0.01913,-0.73579,-0.08969,-0.45784,1.6657,0.03522,-0.08658,0.6,-0.13,-0.01,-0.05,0.07,-2.58,-1.46,-1.72
3.498,4.690323761,3.725899086,0.964424675,-0.29,0.652,0.326,0.478,1.422,1.707,1.592,1.748,20312.355,24387.605,24977.901,4.690323761,3.725899086,0.964424675,4.63204,3.35267,1.44281,4.87831,4.70739,4.72445,3.28441,3.49543,4.16956,2.36398,-0.63106,-0.83789,-0.69984,-0.66844,-1.25883,-0.42739,-0.48327,1.5499,0.58833,-1.47519,-0.27,-0.71,0.03,-0.16,0.03,-0.41,-0.61,-0.81
2.982,2.284182625,3.204588654,-0.920406029,-0.632,-0.597,-0.551,-0.374,1.325,1.44,1.451,1.675,18936.52,20571.473,23932.637,2.284182625,3.204588654,-0.920406029,4.55038,1.90861,0.82807,4.02229,4.40373,4.28691,3.26214,3.49123,4.25301,1.94156,-0.02148,-0.14359,-0.12365,0.07829,-0.91193,0.13862,-0.41399,1.12734,-0.16206,-0.39797,-0.06,0.46,0.01,0.04,0.05,-2.42,-1.78,-1.03
2.56,3.130388729,3.613295426,-0.482906697,-0.392,0.146,-0.382,-0.032,1.359,1.542,1.43,1.666,19413.635,22029.978,23805.263,3.130388729,3.613295426,-0.482906697,4.91559,2.63179,0.85161,4.51563,4.77346,4.46906,2.84401,3.03422,4.03833,2.37969,-0.28078,-0.4853,-0.36357,0.19777,-1.36952,-0.16722,-0.7539,0.54878,-0.26301,-0.14047,0.61,1.09,0.06,0.15,-0.02,-1.85,-1.12,-1.7
3.72,2.10020455,4.031384069,-1.931179519,0.077,-0.724,-0.105,-0.155,1.474,1.357,1.558,1.643,21060.897,19383.886,23466.248,2.10020455,4.031384069,-1.931179519,4.94545,2.87465,1.45566,4.51969,4.98356,4.82908,2.97073,3.20282,3.81072,2.36439,-0.57706,-0.51493,-0.34226,-0.66993,-1.09692,-0.55113,-0.46876,1.85775,0.40734,-0.6042,0.26,0.27,-0.01,0.05,0.02,-0.93,-0.31,-0.24
3.695,2.151121853,4.910557469,-2.759435616,-0.332,-0.524,-0.369,-0.372,1.45,1.479,1.556,1.672,20720.77,21126.801,23888.844,2.151121853,4.910557469,-2.759435616,4.89175,2.4781,0.90734,4.3236,4.63321,4.40603,2.83406,3.11854,4.02061,2.33209,-0.51939,-0.33072,-0.40614,-0.39942,-0.74561,-0.35204,-0.80576,1.72827,0.22826,-0.47781,0.2,-0.8,-0.03,-0.12,0.05,-1.49,-0.91,-0.82
3.792,4.857188712,3.178277958,1.678910754,0.132,0.638,0.452,0.6,1.491,1.706,1.628,1.782,21301.075,24366.317,25457.353,4.857188712,3.178277958,1.678910754,4.71909,2.83593,1.48858,4.09976,4.56896,4.29172,3.2105,3.40489,3.85388,2.28926,-0.69253,-0.63196,-1.11725,-0.52361,-1.4302,-0.51685,-0.85136,1.51757,0.63747,-1.31164,-1.09,-0.67,0.07,-0.16,0,-0.42,-0.53,-0.61
3.576,4.620541623,3.119201381,1.501340242,0.407,0.605,0.141,0.536,1.523,1.649,1.558,1.749,21762.408,23553.827,24993.769,4.620541623,3.119201381,1.501340242,4.88308,3.0857,1.56333,4.95953,5.02803,4.89291,2.89172,3.06017,3.90471,2.92262,-0.33307,-0.47753,-0.99092,0.00084,-1.62639,-0.37933,-0.91546,0.77297,0.03766,-1.72038,-0.92,0.27,0.08,0.02,-0.06,-0.41,-0.67,-0.69
4.85,2.274696028,4.014932749,-1.740236721,0.135,-0.546,0.525,-0.403,1.528,1.437,1.676,1.64,21829.942,20531.968,23426.263,2.274696028,4.014932749,-1.740236721,4.73334,2.74079,1.35422,4.61473,4.80281,4.39803,3.35729,3.58673,4.35165,2.59139,-1.4449,-0.90212,-0.86041,-1.04141,-0.90544,-0.50142,-0.85283,2.41413,0.76657,-1.25104,1.78,0.06,-0.05,0.05,0.03,-0.65,-0.43,0.83
4.198,3.120139365,3.416360522,-0.296221157,0.08,0.097,0.137,-0.191,1.529,1.562,1.636,1.684,21837.984,22314.221,24056.758,3.120139365,3.416360522,-0.296221157,4.92508,2.49898,1.10161,4.5009,4.85678,4.24421,3.15241,3.44858,4.09673,2.46237,-1.58235,-1.1964,-0.8397,-1.02303,-1.10762,-0.36089,-0.4007,2.56343,0.85972,-1.03204,1.3,-1.63,-0.04,-0.22,0.03,-0.99,-0.81,0.57
4.265,3.045476429,3.650857028,-0.6053806,0.592,0.283,0.617,0.248,1.612,1.562,1.703,1.699,23037.222,22312.44,24266.731,3.045476429,3.650857028,-0.6053806,5.14761,2.97012,1.19534,4.93414,5.09325,4.53007,3.46175,3.74846,4.29706,2.66288,-1.64492,-1.46825,-0.92901,-1.47817,-1.30447,-0.70687,-1.05329,2.75308,1.18916,-1.35629,1.16,-1.44,-0.06,-0.16,0,-0.33,-0.12,0.25
4.664,1.05658962,4.219413972,-3.162824352,0.309,-0.77,0.538,-0.558,1.572,1.257,1.657,1.605,22457.89,17961.95,22926.195,1.05658962,4.219413972,-3.162824352,5.06945,2.65838,1.40903,4.73438,4.9529,4.49748,3.57596,3.97947,4.43972,2.72604,-0.97523,-1.35377,-0.44731,-1.06001,-1.16128,-0.56986,-1.01607,2.68885,0.88233,-1.11996,1.68,0.44,-0.1,0.19,0.01,-0.91,-0.35,-0.12
1.596,3.667616311,4.298280064,-0.630663752,-0.618,0.241,-0.677,0.141,1.312,1.573,1.349,1.718,18747.329,22467.928,24539.461,3.667616311,4.298280064,-0.630663752,4.94288,2.08369,0.84763,3.7132,4.17131,4.23844,3.07533,3.30915,3.6752,1.42907,0.29207,0.20042,-0.41337,0.24142,-1.53468,0.14264,-0.68107,0.27699,-0.2615,0.08733,-1.64,0.09,0.03,-0.02,0.03,-2.04,-1.74,-1.99
2.706,4.629525105,4.110623209,0.518901896,-0.112,0.497,-0.119,0.236,1.456,1.623,1.55,1.732,20804.043,23184.783,24748.587,4.629525105,4.110623209,0.518901896,4.99055,3.01004,1.93716,4.81536,5.10445,4.83203,2.82849,2.92412,4.05223,2.97735,-0.21506,-0.60139,-0.75854,-0.36379,-1.24038,-0.76048,-1.1484,1.54701,0.388,-1.5605,-1.34,1.02,0.11,0.1,-0.04,-0.07,0.21,-0.35
2.983,3.336128982,4.355492364,-1.019363383,0.172,-0.196,0.327,-0.3,1.544,1.551,1.622,1.702,22063.03,22161.081,24313.787,3.336128982,4.355492364,-1.019363383,5.70274,2.39131,1.01022,4.61042,4.97253,4.69472,4.04897,4.08255,4.31563,2.1301,-0.09896,-0.80644,-0.17797,-0.6558,-2.02424,-0.50388,-1.17163,1.56511,0.72284,-0.75925,-0.28,-1.26,-0.12,-0.06,0.01,-0.82,-0.73,-0.89
1.206,4.228619952,4.503152488,-0.274532536,-0.446,0.546,-0.595,0.567,1.37,1.652,1.386,1.777,19573.788,23597.218,25382.699,4.228619952,4.503152488,-0.274532536,4.51115,2.06708,0.78469,4.08758,4.35324,4.05441,2.79526,2.97985,3.37876,1.69239,0.27378,-0.20476,-0.92197,0.02118,-1.31974,-0.29871,-0.57554,0.51711,0.08718,-0.33767,-1.17,0.75,0.13,-0.04,0.04,-1.89,-0.9,-2.76
2.636,2.896237045,4.05320436,-1.156967314,-0.406,-0.45,-0.551,-0.409,1.423,1.492,1.485,1.667,20328.044,21314.804,23815.893,2.896237045,4.05320436,-1.156967314,4.8131,2.11409,1.06561,3.94613,4.34846,4.24967,3.17168,3.48526,3.95834,1.84934,-0.02592,-0.4825,-0.10607,-0.19179,-1.73185,-0.3587,-0.67287,1.08498,0.23497,0.01178,0.18,-0.79,-0.12,0,0.02,-1.81,-0.88,-1.96
5.047,2.325393647,4.787144962,-2.461751315,0.52,-0.663,0.496,0.038,1.534,1.367,1.644,1.664,21922.03,19536.734,23772.374,2.325393647,4.787144962,-2.461751315,5.22884,2.73283,1.42613,4.64527,5.04728,5.08167,3.46147,3.60934,4.0144,2.49623,-0.41139,-0.72856,-0.70468,-0.85942,-1.37644,-0.44307,-0.75168,1.97116,0.69195,-0.96773,-0.32,-0.12,-0.06,0.02,0.04,-0.56,-0.53,0.91
4.231,3.682016174,3.984727466,-0.302711292,0.366,0.269,0.267,0.348,1.563,1.604,1.634,1.745,22333.818,22923.268,24925.394,3.682016174,3.984727466,-0.302711292,5.17088,2.7185,1.87387,4.62222,4.80015,4.23466,3.24749,3.52154,4.24267,2.31214,-0.72124,-1.0068,-0.92012,-0.94131,-1.1024,-0.31638,-0.78922,1.69523,0.83985,-1.1738,-0.72,0.26,0.07,-0.05,0.02,-0.45,-0.85,0.27
5.062,2.309830456,4.652409076,-2.34257862,0.466,-0.654,0.658,-0.258,1.577,1.351,1.725,1.66,22536.997,19295.618,23713.623,2.309830456,4.652409076,-2.34257862,5.65567,2.88451,1.57724,4.68848,5.18031,4.56295,3.60523,3.87829,4.67258,2.73959,-0.54482,-1.10275,-0.7761,-0.86189,-1.23355,-0.93321,-1.50659,1.99523,0.72356,-2.21066,0.56,0.47,-0.06,0.13,0.02,0.62,0.31,0.95
4.652,4.263758024,4.482527638,-0.218769614,0.46,0.415,0.644,0.296,1.575,1.603,1.696,1.73,22499.892,22897.404,24720.688,4.263758024,4.482527638,-0.218769614,5.25817,3.03079,1.33465,4.46492,4.83329,4.57461,3.67696,3.76584,4.02753,2.2792,-0.65284,-1.11978,-1.09565,-0.90172,-1.72535,-0.83089,-1.15315,1.79206,0.9549,-1.61988,-0.53,-0.62,-0.03,-0.05,-0.01,0.57,0.19,0.52
2.036,3.403990769,5.256585052,-1.852594284,-0.389,0.495,-0.546,0.404,1.37,1.609,1.407,1.722,19567.514,22981.973,24597.134,3.403990769,5.256585052,-1.852594284,4.83563,2.42151,0.95523,4.78168,4.79872,4.50103,2.98469,3.23938,3.89318,2.08786,0.22343,-0.29122,-0.62019,-0.1154,-1.4533,0.05866,-0.57745,0.77015,0.13965,-0.18059,-0.79,0.84,0.09,0.01,0.05,-1.93,-1.56,-2.28
5.922,4.314590284,3.654546006,0.660044279,0.578,0.456,0.78,0.466,1.652,1.636,1.816,1.741,23608.494,23377.234,24878.232,4.314590284,3.654546006,0.660044279,5.23703,2.84355,1.40098,4.77324,5.03742,4.79203,4.01752,4.17506,4.33065,2.57325,-1.57243,-1.36774,-1.80092,-1.32156,-1.93471,-1.04193,-1.46547,2.7662,1.31007,-2.21545,-0.06,-1.62,-0.06,-0.18,-0.01,1.25,0.6,1.45
3.685,2.543730855,4.349199898,-1.805469043,-0.159,-0.607,-0.414,-0.352,1.472,1.427,1.499,1.666,21027.565,20386.54,23799.557,2.543730855,4.349199898,-1.805469043,5.0754,2.27934,1.15807,4.17631,4.49487,4.18677,3.11414,3.4262,3.99721,2.09089,-0.37682,-0.62197,-0.07305,-0.68934,-1.41114,-0.02141,-0.62122,1.73553,0.38066,-0.21315,-0.09,0.48,-0.05,0.11,0.04,-1.66,-1.39,-1.12
2.91,2.341067143,5.134108009,-2.793040866,-0.702,-0.74,-0.793,-0.468,1.184,1.23,1.223,1.585,16917.791,17566.221,22649.065,2.341067143,5.134108009,-2.793040866,4.29057,1.64216,0.95179,3.51952,3.69439,3.4956,2.64607,2.7217,3.77468,1.637,0.46772,-0.4347,-0.44042,0.3266,-0.78312,0.02306,-0.41497,0.11045,-0.26384,-0.19583,-0.97,0.45,-0.02,0.05,0.05,-2.72,-1.27,-1.85
3.026,3.376944318,4.609398348,-1.23245403,0.342,0.014,0.082,-0.037,1.532,1.54,1.563,1.699,21884.181,22003.232,24273.659,3.376944318,4.609398348,-1.23245403,5.06559,2.68471,1.30899,4.31507,4.68501,4.53098,3.51329,3.57769,4.04103,1.93861,-0.156,-0.83428,-0.17915,-0.6178,-1.43529,-0.47424,-0.88991,1.42034,0.65169,-1.15631,-0.66,-0.16,-0.05,0.04,0,-0.44,-0.62,-0.9
3.627,1.75775896,5.56158669,-3.80382773,-0.216,-0.698,-0.236,-0.328,1.435,1.305,1.495,1.627,20499.672,18641.628,23240.634,1.75775896,5.56158669,-3.80382773,4.73385,2.24685,1.14577,4.09353,4.40634,4.09778,3.40613,3.51934,3.9525,2.09952,-0.14434,-0.608,-0.11156,-0.31438,-1.40466,-0.56248,-0.97582,1.36886,0.43376,-0.25545,-0.04,1.92,-0.03,0.32,0.04,-1.56,-0.21,-0.66
1.36,4.180676388,5.297826307,-1.117149919,-0.708,0.443,-0.807,0.231,1.168,1.595,1.219,1.691,16683.265,22792.503,24163.897,4.180676388,5.297826307,-1.117149919,4.41336,1.55205,0.51552,2.95299,3.50145,3.53265,2.406,2.586,3.00965,1.33842,-0.44389,0.20969,-0.23744,0.44558,-0.78642,-0.04492,-0.11823,0.13539,-0.3867,0.22815,-1.63,0.08,0.05,-0.07,0.04,-2.46,-1.25,-2.15
2.72,3.254287856,4.02248641,-0.768198554,-0.097,0.154,0.002,-0.081,1.474,1.549,1.552,1.694,21063.423,22124.078,24196.288,3.254287856,4.02248641,-0.768198554,5.1307,2.4567,1.12798,4.40298,4.69279,4.52275,3.28948,3.34051,3.90385,2.04364,-0.03149,-0.53611,-0.37031,-0.30101,-1.58419,-0.34203,-0.91848,1.2881,0.39767,-0.86694,-0.51,0.86,0,0.17,-0.01,-0.55,-0.83,-1.1
2.849,4.563642524,3.297111261,1.266531263,-0.504,0.565,-0.269,0.516,1.373,1.672,1.524,1.771,19613.755,23892.754,25301.375,4.563642524,3.297111261,1.266531263,4.88732,2.12863,0.87863,4.29855,4.5225,4.39017,3.38931,3.51303,3.71655,1.83299,0.02181,-0.23804,-0.07919,-0.19307,-1.2004,-0.35833,-0.9699,1.4198,0.23279,-0.53615,-1.56,0.08,0.08,-0.11,0.05,-1,-0.84,-1.19
5.587,4.064745893,4.283083841,-0.218337947,0.716,0.419,0.725,-0.001,1.74,1.626,1.826,1.742,24853.605,23228.621,24890.353,4.064745893,4.283083841,-0.218337947,6.0198,3.26263,1.72926,5.02957,5.35313,4.72732,3.88385,3.89609,4.55373,2.50523,-1.3244,-1.92948,-1.47988,-1.38808,-2.19099,-1.65374,-1.75434,2.61645,1.60489,-2.31864,-0.14,-2.26,-0.13,-0.12,-0.09,1.17,1.39,0.83
3.937,4.482771907,4.348712616,0.13405929,0.222,0.584,0.305,0.571,1.488,1.652,1.615,1.75,21261.344,23595.686,25003.273,4.482771907,4.348712616,0.13405929,5.17924,3.10837,1.41714,4.79171,4.82114,4.18011,3.39325,3.38089,3.94866,2.62628,-0.74666,-0.67813,-0.8277,-0.62252,-1.3521,-0.7654,-0.80731,1.05236,0.77592,-1.75494,-1.16,-0.92,0.04,-0.19,0.01,0.53,0.09,-0.02
2.051,3.910157229,4.338418528,-0.428261299,-0.67,0.242,-0.783,0.078,1.29,1.548,1.326,1.692,18429.175,22115.8,24168.509,3.910157229,4.338418528,-0.428261299,4.35512,1.72672,0.62191,3.41865,3.71045,3.71313,2.38119,2.5059,3.37363,1.31061,0.23986,-0.02989,0.07836,0.25238,-0.71112,-0.21547,-0.45178,0.80947,-0.28681,-0.08837,-1.08,1.51,0.09,0.1,0.06,-1.89,-0.96,-2.08
0.888,1.617194226,5.276391557,-3.659197331,-0.4,-0.609,-0.752,-0.089,1.329,1.343,1.264,1.633,18988.548,19190.019,23336.762,1.617194226,5.276391557,-3.659197331,5.05524,2.63271,1.09149,4.76259,4.91012,4.64652,3.05775,3.12671,3.70238,1.94633,0.38869,-0.00531,-0.48319,0.23821,-1.22401,0.09329,0.13627,0.20134,-0.17809,0.02913,-0.49,-0.61,-0.02,-0.08,0.02,-2.18,-1.63,-2.87
4.656,3.421246329,6.369547473,-2.948301144,0.457,-0.144,0.39,0.132,1.544,1.473,1.603,1.664,22061.796,21044.177,23777.772,3.421246329,6.369547473,-2.948301144,5.15474,2.51569,1.20391,4.08103,4.54228,4.22743,3.53353,3.51466,3.86341,1.96043,-0.51291,-1.18846,-0.35516,-0.96597,-1.74659,-0.75246,-1.21585,1.46177,1.00643,-0.79718,-0.51,-0.2,-0.08,0.06,0.01,-0.06,0.27,0.55
5.46,2.724910872,4.855360436,-2.130449564,0.549,-0.541,0.54,-0.129,1.616,1.403,1.665,1.659,23090.371,20037.414,23697.78,2.724910872,4.855360436,-2.130449564,5.58478,2.56654,1.5509,4.74687,5.04494,4.56173,3.91503,4.14618,4.57605,2.5499,-0.51264,-0.89576,-0.65011,-0.81161,-2.271,-0.57492,-1.4435,2.18531,0.59217,-1.13001,0.82,-0.24,-0.13,0.1,0.01,-1.28,-0.32,0.64
3.18,4.767025281,3.311495957,1.455529324,0.628,0.541,0.544,0.58,1.632,1.671,1.659,1.78,23309.224,23871.436,25430.714,4.767025281,3.311495957,1.455529324,5.30112,3.11954,1.83459,4.95275,5.14069,4.69302,3.255,3.38105,4.05125,2.66022,-0.4904,-0.719,-1.87795,-0.57226,-1.98067,-0.82275,-1.19835,1.45013,0.82645,-1.81905,-0.64,-0.56,0.04,-0.07,-0.06,-0.1,0.01,-1.42
4.084,3.736689503,3.826589622,-0.089900118,0.057,0.379,0.576,0.456,1.49,1.584,1.67,1.72,21287.065,22636.097,24568.106,3.736689503,3.826589622,-0.089900118,5.15857,2.56886,1.10949,4.12437,4.79206,4.54537,3.73706,3.74762,4.01643,1.89911,-0.64331,-0.59249,-0.61118,-0.57699,-1.60821,-0.80023,-1.16915,1.90212,0.32039,-1.92707,-0.67,-1.12,-0.04,-0.12,-0.01,0.35,0.02,-0.31
4.509,3.951292103,5.317011859,-1.365719756,0.514,0.574,0.33,0.416,1.548,1.611,1.636,1.701,22112.885,23011.868,24298.278,3.951292103,5.317011859,-1.365719756,5.08204,2.79112,1.44974,4.22985,4.68559,4.449,3.47311,3.5213,3.74164,2.27627,-0.62916,-1.20625,-0.71214,-0.96959,-1.44085,-0.82008,-0.92716,1.94987,1.00438,-1.21077,-0.33,-0.9,-0.02,-0.11,0,0.31,0.34,0.32
3.139,3.264930563,3.441831321,-0.176900758,0.323,0.081,0.438,0.187,1.515,1.564,1.623,1.709,21645.557,22339.736,24421.412,3.264930563,3.441831321,-0.176900758,5.47525,2.86984,1.20496,5.03696,5.43726,4.91566,3.50837,3.80954,4.24087,2.83674,-0.24427,-0.96596,-1.16501,-0.72585,-1.7852,-0.47388,-0.8712,1.59426,0.57226,-0.72511,0.26,0.23,0.01,0.04,0.01,-1.06,-0.62,-1.31
3.824,2.909032529,4.472480602,-1.563448073,-0.475,-0.509,-0.539,0.086,1.398,1.436,1.463,1.691,19969.379,20516.05,24162.073,2.909032529,4.472480602,-1.563448073,4.82705,1.95939,0.86242,4.15332,4.48208,4.26001,3.36834,3.44328,4.09061,1.862,0.15362,-0.01395,0.08827,0.0291,-0.93759,-0.34861,-1.04895,1.09394,-0.18643,-0.21027,-1.09,0.5,0.02,0,0.07,-2.05,-0.75,-0.43
1.995,2.520615631,4.589621248,-2.069005617,-0.685,-0.571,-0.732,-0.568,1.259,1.459,1.335,1.64,17983.248,20850.588,23435.029,2.520615631,4.589621248,-2.069005617,4.85179,1.99088,0.71827,4.29744,4.51682,4.43299,2.53652,2.83079,3.92946,1.80996,0.22644,0.31884,-0.50262,0.1207,-0.6295,0.11103,-0.28664,0.85543,-0.36505,0.21656,-0.64,-0.27,0,-0.07,0.05,-2.77,-1.71,-1.85
